,ds,y
7931,2016-09-02,53
132032,2016-09-03,54
108167,2016-09-05,54
108421,2016-09-06,54
127542,2016-09-07,54
134204,2016-09-09,54
102462,2016-09-10,54
87095,2016-09-12,54
127491,2016-09-13,55
89064,2016-09-15,55
127366,2016-09-21,56
132048,2016-09-24,56
87948,2016-09-30,56
108125,2016-10-02,56
144698,2016-10-03,56
106817,2016-10-04,56
106847,2016-10-05,56
84415,2016-10-08,56
109076,2016-10-09,56
108174,2016-10-10,56
125234,2016-10-11,56
127700,2016-10-12,56
127240,2016-10-13,56
125351,2016-10-14,56
125126,2016-10-17,57
108413,2016-10-18,57
106691,2016-10-20,57
125333,2016-10-21,57
125328,2016-10-24,57
108389,2016-10-26,57
106798,2016-10-31,57
108275,2016-11-02,57
108276,2016-11-03,57
73586,2016-11-04,57
144690,2016-11-07,57
106704,2016-11-09,57
98207,2016-11-14,57
127981,2016-11-15,57
106833,2016-11-16,57
125218,2016-11-17,58
125361,2016-11-18,59
107010,2016-11-20,59
127626,2016-11-22,59
117489,2016-11-23,59
109076,2016-11-24,59
127689,2016-11-28,59
108565,2016-11-30,59
108561,2016-12-01,59
108710,2016-12-02,59
108617,2016-12-03,59
99036,2016-12-04,59
106816,2016-12-05,59
138130,2016-12-06,59
127581,2016-12-08,60
108709,2016-12-09,60
131486,2016-12-11,60
125330,2016-12-12,60
108606,2016-12-13,60
113954,2016-12-14,60
127553,2016-12-15,60
108955,2016-12-19,60
125537,2016-12-21,60
108607,2016-12-26,60
108953,2016-12-28,60
37263,2016-12-30,60
106843,2016-12-31,60
22142,2017-01-01,60
6726,2017-01-02,60
31150,2017-01-03,60
106793,2017-01-04,60
108713,2017-01-05,60
106389,2017-01-06,60
129868,2017-01-07,61
106873,2017-01-08,62
22146,2017-01-09,66
102385,2017-01-10,72
108887,2017-01-11,78
108715,2017-01-12,78
127772,2017-01-13,78
106717,2017-01-14,78
125251,2017-01-15,78
108390,2017-01-16,78
125105,2017-01-17,81
108797,2017-01-18,98
127548,2017-01-19,98
87931,2017-01-20,98
125359,2017-01-21,98
108884,2017-01-22,98
102965,2017-01-23,99
106823,2017-01-24,99
127618,2017-01-25,99
125207,2017-01-26,100
101385,2017-01-27,100
149110,2017-01-29,100
108531,2017-01-30,100
126170,2017-01-31,101
151720,2017-02-01,101
109199,2017-02-02,102
126682,2017-02-03,102
100090,2017-02-04,104
137492,2017-02-05,104
84536,2017-02-06,104
126075,2017-02-07,120
22141,2017-02-08,123
35739,2017-02-09,123
125349,2017-02-10,123
151948,2017-02-11,123
102363,2017-02-12,123
137255,2017-02-13,123
52074,2017-02-14,126
137189,2017-02-15,128
126749,2017-02-16,128
126296,2017-02-17,129
108820,2017-02-18,130
137248,2017-02-19,130
99401,2017-02-20,130
108757,2017-02-21,130
125187,2017-02-22,130
106761,2017-02-23,130
113210,2017-02-24,130
146030,2017-02-25,131
106784,2017-02-26,131
36342,2017-02-27,131
101573,2017-02-28,131
108653,2017-03-01,131
127255,2017-03-02,134
145955,2017-03-03,141
111765,2017-03-04,141
106538,2017-03-05,141
137502,2017-03-06,141
125962,2017-03-07,146
137199,2017-03-08,146
126751,2017-03-09,146
125450,2017-03-10,147
145163,2017-03-11,147
106857,2017-03-12,147
108727,2017-03-13,148
125186,2017-03-14,148
127851,2017-03-15,148
137500,2017-03-16,149
127787,2017-03-17,149
108782,2017-03-18,149
108726,2017-03-19,149
101549,2017-03-20,149
106673,2017-03-21,149
137185,2017-03-22,149
125267,2017-03-23,150
111791,2017-03-24,150
127675,2017-03-25,150
144167,2017-03-26,150
137139,2017-03-27,150
127743,2017-03-28,150
146206,2017-03-29,150
108968,2017-03-30,150
96252,2017-04-01,150
111782,2017-04-02,150
137263,2017-04-03,150
22458,2017-04-04,151
126358,2017-04-05,151
130487,2017-04-06,152
87008,2017-04-07,152
126508,2017-04-08,152
125616,2017-04-09,152
133301,2017-04-10,152
125483,2017-04-11,152
145038,2017-04-12,153
125658,2017-04-13,154
125657,2017-04-14,154
144609,2017-04-15,154
125716,2017-04-16,154
156288,2017-04-17,154
112844,2017-04-18,154
87672,2017-04-19,154
102966,2017-04-20,155
127005,2017-04-21,155
156327,2017-04-23,155
84540,2017-04-24,155
137394,2017-04-25,155
108350,2017-04-27,155
120546,2017-04-28,155
88279,2017-04-29,155
106324,2017-04-30,156
133321,2017-05-01,158
156389,2017-05-02,158
87528,2017-05-03,159
156382,2017-05-04,162
21817,2017-05-05,162
105154,2017-05-06,162
83404,2017-05-07,162
127853,2017-05-08,162
109051,2017-05-09,162
156295,2017-05-10,162
156551,2017-05-11,162
144908,2017-05-12,162
127535,2017-05-13,162
144912,2017-05-14,162
113185,2017-05-15,162
111817,2017-05-16,162
108941,2017-05-17,162
113639,2017-05-18,163
126103,2017-05-19,164
144877,2017-05-21,165
137607,2017-05-22,165
156571,2017-05-23,166
87524,2017-05-24,166
22419,2017-05-25,166
88028,2017-05-26,167
144905,2017-05-27,167
102460,2017-05-28,167
156378,2017-05-29,167
125472,2017-05-30,167
109007,2017-05-31,167
105894,2017-06-01,167
126815,2017-06-02,167
125929,2017-06-03,167
84382,2017-06-04,167
125959,2017-06-05,167
125701,2017-06-06,168
144917,2017-06-07,173
126326,2017-06-08,173
26145,2017-06-09,173
128453,2017-06-11,173
126507,2017-06-12,173
77662,2017-06-13,174
127122,2017-06-14,174
127367,2017-06-15,176
126145,2017-06-16,176
119708,2017-06-17,177
138115,2017-06-18,177
102809,2017-06-19,178
87665,2017-06-20,178
127447,2017-06-21,179
111774,2017-06-22,179
127004,2017-06-23,179
127864,2017-06-24,180
111930,2017-06-25,180
126580,2017-06-26,180
111945,2017-06-27,180
111871,2017-06-28,180
128060,2017-06-29,181
111949,2017-07-02,181
84451,2017-07-03,191
145119,2017-07-04,192
125966,2017-07-05,193
126716,2017-07-06,193
126220,2017-07-07,193
158465,2017-07-08,193
163483,2017-07-09,193
125631,2017-07-10,193
83339,2017-07-11,193
144540,2017-07-12,193
127546,2017-07-13,194
22491,2017-07-14,194
127537,2017-07-15,194
144884,2017-07-16,194
144919,2017-07-17,194
31277,2017-07-18,194
112504,2017-07-19,194
126727,2017-07-20,194
127419,2017-07-21,194
145168,2017-07-22,194
