,ds,y
7931,2016-09-02,171
132032,2016-09-03,171
108167,2016-09-05,171
108421,2016-09-06,171
127542,2016-09-07,171
134204,2016-09-09,171
102462,2016-09-10,172
87095,2016-09-12,172
127491,2016-09-13,172
89064,2016-09-15,173
127366,2016-09-21,173
132048,2016-09-24,173
87948,2016-09-30,173
108125,2016-10-02,174
144698,2016-10-03,174
106817,2016-10-04,174
106847,2016-10-05,174
84415,2016-10-08,174
109076,2016-10-09,174
108174,2016-10-10,174
125234,2016-10-11,174
127700,2016-10-12,174
127240,2016-10-13,174
125351,2016-10-14,175
125126,2016-10-17,175
108413,2016-10-18,176
106691,2016-10-20,177
125333,2016-10-21,177
125328,2016-10-24,177
108389,2016-10-26,178
106798,2016-10-31,179
108275,2016-11-02,179
108276,2016-11-03,179
73586,2016-11-04,180
144690,2016-11-07,180
106704,2016-11-09,181
98207,2016-11-14,181
127981,2016-11-15,183
106833,2016-11-16,183
125218,2016-11-17,183
125361,2016-11-18,183
107010,2016-11-20,183
127626,2016-11-22,183
117489,2016-11-23,184
109076,2016-11-24,184
127689,2016-11-28,185
108565,2016-11-30,185
108561,2016-12-01,185
108710,2016-12-02,185
108617,2016-12-03,185
99036,2016-12-04,185
106816,2016-12-05,185
138130,2016-12-06,186
127581,2016-12-08,186
108709,2016-12-09,186
131486,2016-12-11,186
125330,2016-12-12,186
108606,2016-12-13,186
113954,2016-12-14,187
127553,2016-12-15,188
108955,2016-12-19,188
125537,2016-12-21,188
108607,2016-12-26,188
108953,2016-12-28,188
37263,2016-12-30,189
106843,2016-12-31,190
22142,2017-01-01,197
6726,2017-01-02,204
31150,2017-01-03,208
106793,2017-01-04,211
108713,2017-01-05,214
106389,2017-01-06,217
129868,2017-01-07,218
106873,2017-01-08,220
22146,2017-01-09,223
102385,2017-01-10,239
108887,2017-01-11,242
108715,2017-01-12,243
127772,2017-01-13,244
106717,2017-01-14,245
125251,2017-01-15,247
108390,2017-01-16,249
125105,2017-01-17,255
108797,2017-01-18,268
127548,2017-01-19,269
87931,2017-01-20,270
125359,2017-01-21,271
108884,2017-01-22,272
102965,2017-01-23,272
106823,2017-01-24,283
127618,2017-01-25,285
125207,2017-01-26,286
101385,2017-01-27,287
149110,2017-01-29,288
108531,2017-01-30,289
126170,2017-01-31,301
151720,2017-02-01,303
109199,2017-02-02,313
126682,2017-02-03,314
100090,2017-02-04,318
137492,2017-02-05,320
84536,2017-02-06,322
126075,2017-02-07,326
22141,2017-02-08,326
35739,2017-02-09,327
125349,2017-02-10,328
151948,2017-02-11,328
102363,2017-02-12,328
137255,2017-02-13,340
52074,2017-02-14,342
137189,2017-02-15,342
126749,2017-02-16,345
126296,2017-02-17,345
108820,2017-02-18,345
137248,2017-02-19,345
99401,2017-02-20,347
108757,2017-02-21,347
125187,2017-02-22,347
106761,2017-02-23,348
113210,2017-02-24,348
146030,2017-02-25,348
106784,2017-02-26,349
36342,2017-02-27,349
101573,2017-02-28,350
108653,2017-03-01,350
127255,2017-03-02,352
145955,2017-03-03,353
111765,2017-03-04,355
106538,2017-03-05,355
137502,2017-03-06,355
125962,2017-03-07,360
137199,2017-03-08,364
126751,2017-03-09,364
125450,2017-03-10,366
145163,2017-03-11,366
106857,2017-03-12,368
108727,2017-03-13,368
125186,2017-03-14,368
127851,2017-03-15,368
137500,2017-03-16,369
127787,2017-03-17,369
108782,2017-03-18,370
108726,2017-03-19,370
101549,2017-03-20,370
106673,2017-03-21,371
137185,2017-03-22,371
125267,2017-03-23,372
111791,2017-03-24,372
127675,2017-03-25,372
144167,2017-03-26,373
137139,2017-03-27,374
127743,2017-03-28,374
146206,2017-03-29,374
108968,2017-03-30,374
96252,2017-04-01,374
111782,2017-04-02,374
137263,2017-04-03,377
22458,2017-04-04,379
126358,2017-04-05,379
130487,2017-04-06,379
87008,2017-04-07,379
126508,2017-04-08,379
125616,2017-04-09,379
133301,2017-04-10,379
125483,2017-04-11,380
145038,2017-04-12,380
125658,2017-04-13,385
125657,2017-04-14,385
144609,2017-04-15,385
125716,2017-04-16,385
156288,2017-04-17,385
112844,2017-04-18,385
87672,2017-04-19,385
102966,2017-04-20,386
127005,2017-04-21,386
156327,2017-04-23,386
84540,2017-04-24,386
137394,2017-04-25,386
108350,2017-04-27,389
120546,2017-04-28,389
88279,2017-04-29,390
106324,2017-04-30,390
133321,2017-05-01,390
