,ds,y
1256,2017-09-21,383
5795,2017-09-26,383
5528,2017-09-27,383
6169,2017-10-04,381
6197,2017-10-05,381
3370,2017-10-06,381
3557,2017-10-09,382
5529,2017-10-10,383
1617,2017-10-11,385
6314,2017-10-12,385
6172,2017-10-13,386
5314,2017-10-15,386
5380,2017-10-16,386
4036,2017-10-17,386
5600,2017-10-18,385
3925,2017-10-19,386
5604,2017-10-22,388
74,2017-10-23,386
1026,2017-10-24,392
86,2017-10-25,395
5307,2017-10-26,410
1719,2017-10-27,417
5639,2017-10-29,417
983,2017-10-30,416
3773,2017-10-31,413
5312,2017-11-01,413
6180,2017-11-02,413
6320,2017-11-03,415
609,2017-11-05,416
5824,2017-11-06,420
617,2017-11-07,422
2900,2017-11-08,425
5860,2017-11-09,426
1420,2017-11-10,428
5838,2017-11-13,428
1081,2017-11-14,430
6186,2017-11-15,432
256,2017-11-16,432
1729,2017-11-17,432
3315,2017-11-19,432
6190,2017-11-20,432
6188,2017-11-21,433
3358,2017-11-22,433
1428,2017-11-24,434
6447,2017-11-26,438
2862,2017-11-27,437
6225,2017-11-28,437
617,2017-11-29,437
576,2017-11-30,434
6192,2017-12-01,433
5902,2017-12-03,433
590,2017-12-04,433
5475,2017-12-05,431
2642,2017-12-06,434
1616,2017-12-07,435
626,2017-12-08,441
2648,2017-12-11,442
5655,2017-12-12,451
6463,2017-12-13,453
3372,2017-12-14,465
2867,2017-12-15,481
6355,2017-12-17,488
254,2017-12-18,488
1526,2017-12-19,489
5587,2017-12-29,493
234,2017-12-31,498
3751,2018-01-01,495
5342,2018-01-02,494
1974,2018-01-04,494
2921,2018-01-07,494
4831,2018-01-08,494
5664,2018-01-09,494
6204,2018-01-10,494
620,2018-01-11,494
6162,2018-01-14,495
6281,2018-01-15,488
6206,2018-01-16,489
2690,2018-01-17,490
3781,2018-01-19,492
4382,2018-01-21,493
6161,2018-01-22,492
3924,2018-01-23,493
3049,2018-01-24,492
6071,2018-01-25,492
6278,2018-01-26,488
4123,2018-01-28,488
5477,2018-01-29,488
1832,2018-01-30,487
3176,2018-01-31,490
255,2018-02-01,493
6119,2018-02-02,503
1831,2018-02-04,513
350,2018-02-05,513
96,2018-02-06,516
1509,2018-02-07,520
1512,2018-02-08,523
1522,2018-02-09,529
767,2018-02-11,534
4124,2018-02-12,535
602,2018-02-13,534
518,2018-02-14,535
512,2018-02-15,538
2652,2018-02-16,539
1094,2018-02-17,541
6333,2018-02-18,542
2374,2018-02-19,542
6063,2018-02-20,542
3177,2018-02-21,541
5818,2018-02-22,536
622,2018-02-23,540
619,2018-02-25,539
2655,2018-02-26,539
3766,2018-02-27,542
5456,2018-02-28,542
5739,2018-03-01,543
1257,2018-03-02,543
4826,2018-03-03,542
1203,2018-03-04,542
5876,2018-03-05,543
3053,2018-03-06,550
3054,2018-03-07,553
3988,2018-03-08,556
1269,2018-03-10,557
2626,2018-03-11,559
5439,2018-03-12,560
1265,2018-03-13,565
6209,2018-03-14,576
4885,2018-03-15,575
5965,2018-03-16,576
1850,2018-03-18,577
2629,2018-03-19,580
3294,2018-03-20,580
118,2018-03-21,581
3390,2018-03-22,600
3771,2018-03-23,602
505,2018-03-24,605
6370,2018-03-25,606
5741,2018-03-26,610
520,2018-03-27,615
3192,2018-03-28,614
3170,2018-03-29,612
1609,2018-03-30,611
5696,2018-03-31,611
3774,2018-04-01,611
6152,2018-04-02,611
1127,2018-04-03,613
2880,2018-04-04,613
2377,2018-04-05,615
3611,2018-04-06,625
2381,2018-04-08,625
2966,2018-04-09,625
5463,2018-04-10,625
253,2018-04-11,628
2393,2018-04-12,629
5735,2018-04-15,632
2979,2018-04-16,635
2383,2018-04-17,645
6454,2018-04-18,648
3609,2018-04-19,649
1249,2018-04-21,650
6226,2018-04-23,650
2983,2018-04-24,651
2686,2018-04-25,651
3610,2018-04-26,658
1023,2018-04-29,658
5313,2018-04-30,658
6178,2018-05-01,659
1459,2018-05-02,659
2692,2018-05-03,659
6473,2018-05-06,660
3595,2018-05-07,661
3827,2018-05-08,672
6334,2018-05-09,679
5110,2018-05-10,686
1731,2018-05-13,686
6011,2018-05-14,689
1449,2018-05-15,689
2721,2018-05-16,693
5415,2018-05-17,693
2714,2018-05-20,693
5768,2018-05-21,695
3658,2018-05-22,709
2984,2018-05-23,714
6481,2018-05-24,721
575,2018-05-27,727
1105,2018-05-28,727
1450,2018-05-29,727
6483,2018-05-31,726
2991,2018-06-03,727
3001,2018-06-04,734
1553,2018-06-05,733
1460,2018-06-06,736
1110,2018-06-07,738
5546,2018-06-08,738
5772,2018-06-10,738
5143,2018-06-11,744
3488,2018-06-12,745
2895,2018-06-13,750
2998,2018-06-14,750
6221,2018-06-17,751
6220,2018-06-18,756
642,2018-06-19,759
6450,2018-06-20,763
5751,2018-06-21,767
2398,2018-06-24,776
128,2018-06-25,777
2407,2018-06-26,779
1843,2018-06-27,783
6445,2018-06-28,793
6479,2018-06-29,790
5758,2018-06-30,790
5535,2018-07-01,790
3037,2018-07-02,792
3616,2018-07-03,793
2080,2018-07-04,793
5767,2018-07-05,793
5949,2018-07-08,793
5540,2018-07-09,791
6241,2018-07-10,788
3359,2018-07-11,788
5120,2018-07-12,788
6182,2018-07-14,788
5541,2018-07-15,788
2402,2018-07-16,788
5988,2018-07-17,786
2709,2018-07-18,786
5982,2018-07-20,786
2565,2018-07-21,786
5811,2018-07-22,786
162,2018-07-23,787
4842,2018-07-24,799
139,2018-07-25,799
2571,2018-07-26,824
1425,2018-07-29,825
3772,2018-07-30,824
6304,2018-07-31,820
2713,2018-08-01,822
265,2018-08-02,825
6326,2018-08-04,828
1471,2018-08-05,828
5993,2018-08-06,832
4844,2018-08-07,837
6315,2018-08-08,841
1930,2018-08-09,843
5553,2018-08-10,843
2719,2018-08-11,844
169,2018-08-12,845
3385,2018-08-13,849
2238,2018-08-14,842
111,2018-08-15,854
5607,2018-08-16,853
607,2018-08-17,852
5668,2018-08-18,854
6133,2018-08-19,855
6456,2018-08-20,858
3205,2018-08-21,867
1810,2018-08-22,875
3207,2018-08-23,876
2947,2018-08-24,881
1811,2018-08-25,880
6138,2018-08-26,883
4216,2018-08-27,886
175,2018-08-28,890
6322,2018-08-29,903
3308,2018-08-30,905
5612,2018-08-31,906
6018,2018-09-01,904
2606,2018-09-02,903
2728,2018-09-03,908
6019,2018-09-04,907
872,2018-09-05,911
5467,2018-09-06,911
5431,2018-09-07,911
6146,2018-09-09,912
6149,2018-09-11,912
3401,2018-09-12,915
360,2018-09-13,915
3750,2018-09-14,922
2609,2018-09-15,921
4651,2018-09-16,922
534,2018-09-17,927
4654,2018-09-18,933
4138,2018-09-19,939
4477,2018-09-20,941
6147,2018-09-21,940
3284,2018-09-23,940
5656,2018-09-24,940
4540,2018-09-25,940
6494,2018-09-26,943
2585,2018-09-27,943
1827,2018-09-28,945
5843,2018-09-29,945
3979,2018-09-30,945
4263,2018-10-01,946
6387,2018-10-02,946
3618,2018-10-03,951
2953,2018-10-04,950
1268,2018-10-05,948
5562,2018-10-06,948
4144,2018-10-07,948
656,2018-10-08,949
6488,2018-10-09,951
994,2018-10-10,963
1135,2018-10-11,963
1287,2018-10-12,961
6023,2018-10-13,960
878,2018-10-14,961
5464,2018-10-15,961
3017,2018-10-16,960
1129,2018-10-17,961
368,2018-10-18,962
506,2018-10-19,962
3056,2018-10-20,961
3021,2018-10-21,961
3233,2018-10-22,962
6044,2018-10-23,962
5567,2018-10-24,961
1064,2018-10-25,961
6047,2018-10-26,961
1823,2018-10-27,960
4151,2018-10-28,960
1997,2018-10-29,959
6484,2018-10-30,957
4993,2018-10-31,952
4979,2018-11-01,953
5845,2018-11-02,955
5573,2018-11-03,955
6391,2018-11-04,955
2882,2018-11-05,958
546,2018-11-06,965
4586,2018-11-07,971
1521,2018-11-08,967
3040,2018-11-09,963
6347,2018-11-10,962
5077,2018-11-11,963
6404,2018-11-12,974
5083,2018-11-13,981
2893,2018-11-14,985
3106,2018-11-15,989
5379,2018-11-18,989
1274,2018-11-19,991
6414,2018-11-20,1008
1282,2018-11-21,1024
6334,2018-11-22,1036
4358,2018-11-25,1037
6532,2018-11-26,1044
3027,2018-11-27,1048
2082,2018-11-28,1052
5870,2018-11-29,1052
5535,2018-11-30,1051
2705,2018-12-02,1050
2969,2018-12-03,1046
6416,2018-12-04,1039
2564,2018-12-05,1043
6167,2018-12-06,1045
5847,2018-12-07,1008
5615,2018-12-08,1008
5453,2018-12-09,1008
1620,2018-12-10,1011
5373,2018-12-11,1011
1019,2018-12-12,1010
6491,2018-12-13,1007
1015,2018-12-14,1000
1050,2018-12-16,999
5659,2018-12-17,999
3044,2018-12-19,998
5886,2018-12-20,1000
5406,2018-12-22,1000
6374,2018-12-23,999
5653,2018-12-24,999
1825,2018-12-25,998
1934,2018-12-26,997
1246,2018-12-27,996
1826,2018-12-28,994
1252,2018-12-29,993
6427,2018-12-30,992
1247,2018-12-31,991
5516,2019-01-02,986
1530,2019-01-03,985
1036,2019-01-04,978
5537,2019-01-05,978
568,2019-01-06,978
1627,2019-01-07,962
4591,2019-01-08,963
5725,2019-01-09,961
1294,2019-01-10,952
2978,2019-01-13,946
3185,2019-01-14,945
1293,2019-01-15,944
4993,2019-01-16,946
4988,2019-01-17,947
2925,2019-01-20,955
167,2019-01-21,942
3351,2019-01-22,927
5420,2019-01-23,922
5500,2019-01-24,918
2573,2019-01-27,917
6220,2019-01-28,918
6501,2019-01-29,917
329,2019-01-30,916
1374,2019-01-31,915
1530,2019-02-03,912
5776,2019-02-04,910
3830,2019-02-05,894
1437,2019-02-06,894
6371,2019-02-09,897
6257,2019-02-10,896
373,2019-02-11,896
2720,2019-02-12,895
1079,2019-02-13,899
5349,2019-02-14,900
676,2019-02-17,895
4667,2019-02-18,897
5013,2019-02-19,897
5004,2019-02-20,897
