,ds,y
36644,2016-09-01,226
7931,2016-09-02,226
132032,2016-09-03,226
108167,2016-09-05,227
108421,2016-09-06,232
127542,2016-09-07,233
134204,2016-09-09,235
102462,2016-09-10,235
87095,2016-09-12,235
127491,2016-09-13,235
89064,2016-09-15,235
127366,2016-09-21,236
132048,2016-09-24,237
87948,2016-09-30,237
108125,2016-10-02,237
144698,2016-10-03,237
106817,2016-10-04,238
106847,2016-10-05,240
84415,2016-10-08,240
109076,2016-10-09,241
108174,2016-10-10,242
125234,2016-10-11,245
127700,2016-10-12,246
127240,2016-10-13,248
125351,2016-10-14,249
125126,2016-10-17,249
108413,2016-10-18,250
106691,2016-10-20,252
125333,2016-10-21,253
125328,2016-10-24,255
108389,2016-10-26,255
106798,2016-10-31,255
108275,2016-11-02,256
108276,2016-11-03,257
73586,2016-11-04,257
144690,2016-11-07,257
106704,2016-11-09,258
98207,2016-11-14,259
127981,2016-11-15,262
106833,2016-11-16,264
125218,2016-11-17,264
125361,2016-11-18,265
107010,2016-11-20,266
127626,2016-11-22,267
117489,2016-11-23,267
109076,2016-11-24,266
127689,2016-11-28,266
108565,2016-11-30,265
108561,2016-12-01,268
108710,2016-12-02,272
108617,2016-12-03,273
99036,2016-12-04,274
106816,2016-12-05,282
138130,2016-12-06,292
127581,2016-12-08,296
108709,2016-12-09,298
131486,2016-12-11,299
125330,2016-12-12,300
108606,2016-12-13,303
113954,2016-12-14,303
127553,2016-12-15,305
108955,2016-12-19,306
125537,2016-12-21,308
108607,2016-12-26,309
108953,2016-12-28,310
37263,2016-12-30,310
106843,2016-12-31,311
22142,2017-01-01,325
6726,2017-01-02,329
31150,2017-01-03,333
106793,2017-01-04,338
108713,2017-01-05,342
106389,2017-01-06,350
129868,2017-01-07,350
106873,2017-01-08,351
22146,2017-01-09,359
102385,2017-01-10,402
108887,2017-01-11,432
108715,2017-01-12,442
127772,2017-01-13,447
106717,2017-01-14,447
125251,2017-01-15,447
108390,2017-01-16,449
125105,2017-01-17,499
108797,2017-01-18,618
127548,2017-01-19,632
87931,2017-01-20,635
125359,2017-01-21,640
108884,2017-01-22,640
102965,2017-01-23,642
106823,2017-01-24,660
127618,2017-01-25,667
125207,2017-01-26,671
101385,2017-01-27,674
149110,2017-01-29,676
108531,2017-01-30,677
126170,2017-01-31,698
151720,2017-02-01,759
109199,2017-02-02,770
126682,2017-02-03,772
100090,2017-02-04,803
137492,2017-02-05,805
84536,2017-02-06,811
126075,2017-02-07,838
22141,2017-02-08,848
35739,2017-02-09,856
125349,2017-02-10,857
151948,2017-02-11,857
102363,2017-02-12,858
137255,2017-02-13,863
52074,2017-02-14,869
137189,2017-02-15,857
126749,2017-02-16,866
126296,2017-02-17,870
108820,2017-02-18,875
137248,2017-02-19,876
99401,2017-02-20,879
108757,2017-02-21,883
125187,2017-02-22,883
106761,2017-02-23,885
113210,2017-02-24,885
146030,2017-02-25,888
106784,2017-02-26,888
36342,2017-02-27,891
101573,2017-02-28,892
108653,2017-03-01,903
127255,2017-03-02,919
145955,2017-03-03,923
111765,2017-03-04,936
106538,2017-03-05,939
137502,2017-03-06,942
125962,2017-03-07,951
137199,2017-03-08,959
126751,2017-03-09,966
125450,2017-03-10,973
145163,2017-03-11,974
106857,2017-03-12,975
108727,2017-03-13,982
125186,2017-03-14,993
127851,2017-03-15,998
137500,2017-03-16,1001
127787,2017-03-17,1003
108782,2017-03-18,1007
108726,2017-03-19,1008
101549,2017-03-20,1011
106673,2017-03-21,1014
137185,2017-03-22,1020
125267,2017-03-23,1022
111791,2017-03-24,1021
127675,2017-03-25,1023
144167,2017-03-26,1023
137139,2017-03-27,1027
127743,2017-03-28,1028
146206,2017-03-29,1028
108968,2017-03-30,1027
96252,2017-04-01,1028
111782,2017-04-02,1029
137263,2017-04-03,1031
22458,2017-04-04,1039
126358,2017-04-05,1045
130487,2017-04-06,1047
87008,2017-04-07,1048
126508,2017-04-08,1050
125616,2017-04-09,1051
133301,2017-04-10,1053
125483,2017-04-11,1057
145038,2017-04-12,1059
125658,2017-04-13,1062
125657,2017-04-14,1061
144609,2017-04-15,1067
125716,2017-04-16,1068
156288,2017-04-17,1070
112844,2017-04-18,1070
87672,2017-04-19,1072
102966,2017-04-20,1073
127005,2017-04-21,1074
156327,2017-04-23,1074
84540,2017-04-24,1078
137394,2017-04-25,1086
108350,2017-04-27,1089
120546,2017-04-28,1088
88279,2017-04-29,1088
106324,2017-04-30,1088
133321,2017-05-01,1091
156389,2017-05-02,1099
87528,2017-05-03,1108
156382,2017-05-04,1113
21817,2017-05-05,1116
105154,2017-05-06,1118
83404,2017-05-07,1118
127853,2017-05-08,1119
109051,2017-05-09,1141
156295,2017-05-10,1154
156551,2017-05-11,1164
144908,2017-05-12,1163
127535,2017-05-13,1166
144912,2017-05-14,1169
113185,2017-05-15,1172
111817,2017-05-16,1173
108941,2017-05-17,1177
113639,2017-05-18,1180
126103,2017-05-19,1182
144877,2017-05-21,1183
137607,2017-05-22,1186
156571,2017-05-23,1189
87524,2017-05-24,1189
22419,2017-05-25,1189
88028,2017-05-26,1189
144905,2017-05-27,1190
102460,2017-05-28,1190
156378,2017-05-29,1190
125472,2017-05-30,1196
109007,2017-05-31,1197
105894,2017-06-01,1198
126815,2017-06-02,1203
125929,2017-06-03,1204
84382,2017-06-04,1204
125959,2017-06-05,1205
125701,2017-06-06,1216
144917,2017-06-07,1223
126326,2017-06-08,1230
26145,2017-06-09,1233
128453,2017-06-11,1234
126507,2017-06-12,1237
77662,2017-06-13,1239
127122,2017-06-14,1243
127367,2017-06-15,1245
126145,2017-06-16,1248
119708,2017-06-17,1251
138115,2017-06-18,1251
102809,2017-06-19,1252
87665,2017-06-20,1256
127447,2017-06-21,1260
111774,2017-06-22,1261
127004,2017-06-23,1265
127864,2017-06-24,1269
111930,2017-06-25,1269
126580,2017-06-26,1277
111945,2017-06-27,1285
111871,2017-06-28,1285
128060,2017-06-29,1286
111949,2017-07-02,1285
84451,2017-07-03,1287
145119,2017-07-04,1294
125966,2017-07-05,1296
126716,2017-07-06,1297
126220,2017-07-07,1298
158465,2017-07-08,1300
163483,2017-07-09,1303
125631,2017-07-10,1305
83339,2017-07-11,1307
144540,2017-07-12,1308
127546,2017-07-13,1313
22491,2017-07-14,1317
127537,2017-07-15,1318
144884,2017-07-16,1321
